ID,Predicted
21990,0.0
6594,0.0
18525,0.2
23747,0.4
37752,0.0
15379,0.0
23237,0.4
5302,1.0
29910,0.0
5884,0.4
30121,0.6
18830,0.2
7258,0.6
39578,0.0
39356,0.0
12182,0.4
22242,0.8
23632,1.0
19671,0.0
8659,0.0
43512,0.0
9607,0.4
4996,0.0
4878,0.0
43923,0.0
42117,0.0
1232,0.4
34468,0.0
17925,0.0
42518,0.4
8937,0.0
34511,0.0
41357,0.2
4458,0.0
30489,0.0
16857,0.0
38774,0.0
12408,0.0
6144,0.4
12233,0.0
11821,0.0
23457,0.0
38715,0.2
5631,1.0
41432,0.4
5542,0.0
21413,0.4
36957,1.0
45094,0.0
29184,0.0
10658,0.4
12393,0.2
36058,1.0
22262,0.0
32332,0.0
2508,0.0
42066,0.2
19982,0.0
37212,0.0
14222,0.0
38196,0.0
23936,0.0
12220,1.0
32970,0.0
16435,0.0
15020,0.6
24143,0.8
13718,0.8
23200,1.0
24071,0.0
42775,0.0
36284,0.4
33211,0.0
21280,0.0
26261,0.0
15283,1.0
9019,0.6
38909,0.4
44407,0.0
4009,1.0
33525,0.6
41646,0.0
32844,0.0
11811,0.0
39160,0.0
13726,0.0
26796,0.0
239,0.0
33264,0.0
39379,0.0
39701,0.0
15794,1.0
6875,0.0
7020,0.0
10484,0.0
35470,0.6
2783,0.6
31159,0.0
29159,0.2
4334,0.0
36788,0.0
25953,0.0
26006,1.0
31508,0.4
37641,0.0
36412,0.0
19968,0.0
42340,0.0
35902,0.0
24811,1.0
3216,0.8
17239,0.0
36241,0.0
18998,0.0
20871,0.0
17556,0.0
15501,0.2
42469,0.0
8831,0.4
37191,0.0
12093,1.0
6791,1.0
1034,0.4
1881,0.4
38118,0.0
47548,0.0
5990,0.0
6576,1.0
35977,0.4
11674,0.0
20249,0.0
22702,0.0
24666,0.0
20653,0.2
34389,1.0
22829,0.0
8537,0.0
25004,1.0
35973,0.4
38181,0.0
43168,0.4
700,0.0
46063,0.2
23090,0.0
24530,0.2
23704,0.0
1051,1.0
43234,0.4
2282,0.0
28931,0.0
20861,0.4
39179,0.0
18466,0.0
5921,0.0
43037,0.0
6612,0.0
15865,0.0
31841,0.6
13752,0.4
36912,1.0
40138,0.4
41440,0.0
32943,1.0
14433,0.2
21665,0.0
42817,0.6
16974,0.2
2248,0.0
7047,0.6
17960,0.8
6670,0.0
1116,0.6
27307,0.0
39264,0.0
4803,0.4
42049,0.0
46322,0.8
20204,1.0
28298,0.0
37921,0.0
30583,0.0
29332,0.0
33579,0.8
1263,0.0
6613,0.0
40405,0.4
31563,1.0
26563,0.6
44672,0.4
25161,0.0
12228,0.0
35368,0.0
17055,0.0
30037,0.0
36647,0.8
9410,0.0
40760,0.0
45184,0.8
45330,0.8
4710,0.4
34047,0.6
11810,0.8
21439,0.0
9378,0.0
37414,0.0
35458,0.6
8674,0.0
16152,0.0
19263,0.0
5682,0.0
43726,0.0
7668,0.6
45192,0.0
23326,0.0
40585,0.0
15460,0.0
5300,0.0
41447,0.0
13728,0.6
47897,0.6
22857,0.0
7444,1.0
16806,0.2
8250,0.0
37022,0.0
34591,0.4
42317,0.8
37780,1.0
28230,0.0
38713,0.0
1221,0.2
12749,0.0
42663,0.0
28063,0.0
33963,0.0
23250,0.4
3647,0.2
13816,1.0
5176,1.0
9399,0.6
31124,0.0
1362,0.0
46627,0.4
40588,0.0
31704,0.0
34477,0.0
46346,0.0
25998,0.0
23092,0.0
6849,0.0
498,1.0
14652,0.8
32045,1.0
21763,0.0
11250,0.0
38904,0.0
8080,0.0
6854,0.2
41126,0.4
3850,0.0
41405,0.0
38620,0.8
22286,0.0
33778,0.0
33392,0.0
12035,0.2
22236,0.0
47188,0.0
2516,0.0
39382,0.6
20094,0.8
44878,0.0
38411,0.4
11579,0.8
569,0.0
462,0.0
20770,0.8
17928,0.8
9431,0.6
31551,0.8
46182,0.0
47884,0.4
34602,0.8
33078,0.2
22815,0.0
34795,0.6
8415,0.0
24289,0.2
15801,0.6
25473,0.0
21326,0.0
24932,0.8
26339,0.0
43797,1.0
8637,0.0
20708,0.0
11637,0.0
26260,1.0
33801,0.0
41287,0.0
736,0.2
40639,0.0
30564,0.0
46534,0.0
44392,0.0
1515,0.0
15200,0.0
5644,0.0
21121,0.2
9550,1.0
3794,1.0
28849,0.0
42822,0.0
11941,0.0
39088,0.0
10560,0.0
26787,0.0
35746,0.6
16457,0.2
9748,0.0
13988,0.6
29369,0.0
10064,0.0
11326,0.0
24673,0.4
811,0.4
28020,1.0
11445,0.4
23793,0.4
24012,0.2
12021,0.0
10938,0.0
42194,0.0
36917,0.0
24168,0.0
7534,0.4
3642,0.0
41768,0.0
38254,0.0
14118,0.0
1885,0.6
21977,1.0
30279,0.0
26094,0.0
39588,0.2
20019,0.4
21288,0.0
34661,0.8
32926,0.0
20113,0.0
550,0.2
12002,0.8
36746,0.2
21854,0.0
1870,0.4
46818,0.0
43619,0.0
28695,0.0
18170,0.0
38841,0.2
37907,0.8
36867,0.0
37094,0.0
44947,0.0
13704,0.0
42395,0.0
32734,0.0
7702,0.0
6585,0.0
36506,0.0
47832,0.0
39479,0.0
94,1.0
46605,0.0
27973,0.2
46490,0.2
42344,0.0
29413,0.2
45818,0.8
21142,0.6
38618,0.0
21097,0.4
26232,0.0
45091,0.0
14189,0.0
26350,0.0
46422,0.0
2677,0.0
21388,0.0
15456,1.0
43380,0.8
46732,0.0
27928,1.0
44535,0.0
4306,0.8
14997,0.6
32817,0.2
24712,0.0
12636,0.0
4256,0.2
24016,1.0
6507,0.0
41283,0.0
22179,0.0
34134,1.0
7681,0.0
17214,1.0
43651,0.0
4719,0.2
44175,0.0
1253,0.0
42654,0.0
15936,0.0
12099,0.0
46904,0.4
20260,1.0
42625,0.0
35335,0.8
32049,0.4
4167,0.0
8622,0.2
26315,0.0
7733,0.2
23497,0.8
7190,0.0
36858,0.2
47830,0.0
24728,0.0
17868,0.0
17220,1.0
28645,0.0
8790,0.0
13684,0.0
6745,1.0
5785,0.2
39829,0.0
17585,0.0
20377,0.0
5492,0.0
16763,0.0
8706,0.0
36747,0.0
30323,0.0
16488,0.0
11541,0.8
20791,0.0
47665,0.0
44408,0.8
40214,0.0
17246,0.0
46061,0.0
26693,0.0
4858,0.0
905,0.0
40421,0.0
7846,0.4
19275,0.0
21576,0.6
43995,0.4
41949,0.0
21754,0.0
26637,0.0
33700,0.0
6100,0.6
39759,1.0
28578,0.4
20326,0.2
32292,0.2
15624,0.0
30716,1.0
152,0.0
21676,0.8
27454,0.8
20175,0.0
18730,0.0
34471,0.0
36391,0.6
7793,0.0
25705,0.0
41386,0.0
18688,0.0
6219,0.0
5192,0.0
6933,0.6
45895,0.4
5813,0.0
21872,1.0
30185,0.0
12668,0.0
10254,0.0
35275,0.2
29852,0.2
41971,0.0
6911,0.0
32806,0.0
7628,0.0
3821,0.2
2752,0.0
36451,0.0
40647,0.8
33721,0.0
46631,0.2
23847,0.6
9211,0.4
732,0.4
35392,0.6
47176,1.0
9666,1.0
26337,0.4
16470,1.0
5639,1.0
13330,0.4
38080,0.0
15015,0.2
37883,0.0
21440,0.0
31140,0.8
39768,0.4
43771,0.0
45981,0.8
670,0.2
42565,0.0
46024,0.0
25393,0.0
6017,0.4
30363,0.0
44748,0.4
23921,0.0
4174,0.2
21275,0.4
6339,0.0
34149,0.2
13463,1.0
44724,0.2
38590,0.0
32123,1.0
2355,1.0
45017,0.0
2960,0.2
1873,0.4
42031,0.0
39543,0.0
30282,0.0
15204,0.0
13696,0.0
47344,0.6
37288,0.0
41426,0.0
11829,0.4
6383,0.4
34900,0.0
38678,0.0
6106,0.0
15301,0.8
44279,0.0
36983,0.4
21040,0.0
2772,0.0
1267,0.8
46101,0.4
32768,0.0
26372,0.0
35535,0.0
27918,0.2
10327,0.0
42216,0.0
40412,0.0
33084,0.4
3812,0.6
20787,0.0
46110,0.0
10829,0.4
23335,0.8
14764,0.2
39775,0.0
42806,0.0
29376,0.2
27855,0.2
1111,0.0
18007,0.0
25573,0.0
28672,0.0
8325,0.0
33831,0.6
39386,0.0
7517,0.2
12753,1.0
35177,0.0
41812,0.0
32830,0.2
21429,1.0
45037,0.2
47016,0.4
17683,1.0
32160,0.0
3529,0.0
22130,0.6
29601,0.0
43216,0.0
790,0.0
27235,0.0
28406,0.0
10142,0.6
16611,0.2
27919,0.0
8767,0.0
19807,0.0
45170,0.4
1637,0.4
12784,1.0
24908,1.0
1764,0.2
24338,0.4
21025,0.4
3093,0.2
14347,0.0
37896,0.8
47729,0.0
45993,0.0
41651,0.0
1634,0.0
46245,0.6
34820,0.0
31893,0.4
33464,0.0
13889,1.0
42732,1.0
4943,0.0
18085,0.0
37285,1.0
14185,0.0
8843,0.0
47599,1.0
1851,0.4
17028,0.6
382,0.0
45615,0.2
18537,0.6
383,0.0
9631,0.0
30457,0.2
41879,0.0
28201,0.0
1230,0.0
2601,0.2
43937,0.0
26111,0.0
11194,0.0
47300,0.0
14734,0.4
6063,0.0
33107,0.8
14718,0.2
19549,0.0
38557,0.0
33202,0.0
18450,0.0
41501,0.0
45893,0.0
38232,0.2
41960,0.0
19771,0.0
7823,0.0
26007,0.0
11246,0.0
40917,0.2
11155,0.2
45889,0.0
2594,1.0
39509,0.2
3322,0.0
28515,0.8
1106,1.0
14594,0.0
3442,0.0
36298,0.0
10721,0.0
2113,0.2
30520,0.2
36124,1.0
1225,0.4
19724,0.0
6689,0.0
25302,0.0
12051,0.4
47371,0.0
6648,0.0
666,1.0
28438,0.0
4337,0.0
8781,0.0
11166,0.2
