ID,Predicted
21990,0.08663126541153357
6594,0.3425613085104801
18525,0.4717620429478333
23747,0.7081760137450949
37752,0.44597281731057953
15379,0.03857154930752615
23237,0.40434857935389185
5302,0.9848690516262681
29910,0.11033901207180666
5884,0.6683001224838483
30121,0.8809424953610657
18830,0.26662138614835257
7258,0.7893496828159724
39578,0.03351268386676317
39356,0.08818917967757539
12182,0.6609691931936582
22242,0.8461780945972519
23632,0.8977045798268039
19671,0.2292059939110019
8659,0.03307319458102706
43512,0.1320346439694473
9607,0.8745212992429425
4996,0.3651536127330774
4878,0.007491708066740751
43923,0.0422643002071996
42117,0.03485256522372096
1232,0.7284579227446222
34468,0.11245465604554038
17925,0.17731443844006858
42518,0.3576235583564
8937,0.3219307591326767
34511,0.024532298547745083
41357,0.4952599795918185
4458,0.144157568256938
30489,0.3634810919344911
16857,0.047826857525647824
38774,0.014715963346235069
12408,0.06226281343111949
6144,0.6331074733909063
12233,0.11043449066264711
11821,0.601912080271713
23457,0.1372509351968545
38715,0.17421455939677602
5631,0.7825315774763593
41432,0.1213498206074062
5542,0.6245497842570978
21413,0.49297480826209694
36957,0.18728784586691258
45094,0.4444625203534556
29184,0.26430425451592576
10658,0.5656904588748038
12393,0.696140530311716
36058,0.8776287870900417
22262,0.08029005437930699
32332,0.3581694765108167
2508,0.6904520865541821
42066,0.5108504392147253
19982,0.10324351681563414
37212,0.05336656844714128
14222,0.14589128118853767
38196,0.1189384278589342
23936,0.217488522273729
12220,0.9549293023200712
32970,0.02120118017012773
16435,0.21353360705137286
15020,0.7990272868179785
24143,0.7694043420195587
13718,0.6502752170204573
23200,0.9996667012690336
24071,0.09555681877618866
42775,0.05257252652371799
36284,0.6075246084072244
33211,0.05336656844714128
21280,0.520371164609107
26261,0.054597632417400906
15283,0.9189180690883744
9019,0.7078750237966535
38909,0.19502429710780242
44407,0.027729928371379258
4009,0.9987575501357268
33525,0.41749418744770544
41646,0.10681627179931655
32844,0.008777408233827586
11811,0.041109912433314404
39160,0.06315281131142736
13726,0.08591580602475217
26796,0.07915339575341515
239,0.08468385950233683
33264,0.15213156779739745
39379,0.7043474670784804
39701,0.05409995039568274
15794,0.4086051511669681
6875,0.26678423755711345
7020,0.1834368062724377
10484,0.042536186345660566
35470,0.9914280684617313
2783,0.9974922122127643
31159,0.056835587828069384
29159,0.7822612048461606
4334,0.07034830017097195
36788,0.28632693696644945
